"","county","id","odate","capacity.KW","rotor.diameter.m","hub.heigh.m","Manufacture","Type.designation","county.no","Type.of.location","Cadastral.district","Cadastral.no","X.east.coordinate","Y.north.coordinate","Distribution.company.number","Type.of.connection","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","ddate","eastWest","fullLoad","scrapped","time","survival","under100","under150","under450","InstallYear"
"7310","Ålborg","w570715000000008269",1989-04-13, 250, 26.00, 30.00,"Micon","530/250",851,"LAND","Restrup Hgd.","120",  549457.2,  6321938.0,"194",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 271008, 400270, 381006, 395470, 396890, 420190, 381500, 298520, 355950, 354870, 311633, 329481, 285300, 283792, 247826,  279949,  250427,  91283,NA,NA,NA,NA,NA,2006-06-27,"east",1343.26850,1, 6284, 6284 ,0,0,1,"1989"
"7311","Ålborg","w570715000000013126",2000-12-28, 750, 48.00, 45.00,"NEG Micon","NM 48/750",851,"LAND","Vrå Hovedgård, Ajstrup","2bm",  555440.2,  6337019.9,"71300-00","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,      0, 792337,1257007,1147969, 1314720, 1224228,1106376, 1451128,1504171, 1262803, 1219769, 1572836,NA,"east",1637.40107,0, 4233, 4233+,0,0,0,"2000"
"7312","Ålborg","w570715000000011450",1990-04-10, 300, 28.00, 31.00,"Nordtank","NTK 300-Nordtank",851,"LAND","nørrekær enge","29b",  525012.3,  6318114.0,"WNR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 260250, 398850, 391825, 414642, 420219, 377404, 329775, 351389, 392726, 343528, 366068, 293637, 284383, 328746,  408035,  377937, 331328,  473721, 351941,NA,NA,NA,2008-12-19,"east",1232.19863,1, 6828, 6828 ,0,0,1,"1990"
"7313","Ålborg","w570715000000009297",1993-01-06, 200, 26.00, 30.00,"Wincon","W 200/26",851,"LAND","Lundby by","2h",  561658.8,  6315221.6,"290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 374140, 396940, 365000, 325620, 327780, 360140, 332895, 341094, 293880, 319371, 282180,  312572,  291536, 266610,  310791, 260105,  112231,NA,NA,2009-06-23,"east",1595.50467,1, 6012, 6012 ,0,0,1,"1993"
"7314","Ålborg","w570715000000012396",1991-04-03, 150, 23.60, 30.00,"DWP","D 150",851,"LAND","Melsted By, Sulsted Sog","11a",  557561.0,  6331584.0,"70051-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 145830, 254395, 291930, 315030, 273800, 226430, 270420, 276760, 237118, 272091, 221534, 213024, 205342,  235260,  219208, 190219,  260638, 196277,  225425,   68297,NA,2010-06-15,"east",1624.03741,1, 7013, 7013 ,0,1,1,"1991"
"7315","Ålborg","w570715000000013171",2000-12-28, 750, 48.00, 45.00,"NEG Micon","NM 48/750",851,"LAND","Vrå Hovedgård, Ajstrup","2bm",  555745.3,  6337091.9,"71300-00","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,      0, 792337,1257007,1147969, 1314720, 1224228,1106376, 1424606,1416622, 1229983, 1129685, 1378341,NA,"east",1605.80440,0, 4233, 4233+,0,0,0,"2000"
"7316","Ålborg","w570715000000012754",1996-12-31, 600, 42.30, 45.00,"Wind World","W 4200-600",851,"LAND","Tylstrup By, Ajstrup","17bi",  554051.8,  6343114.8,"71001","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,      0,1093594,1326981,1000214,1197349,1035246,1011825, 906154, 1060216,  975116, 885322, 1232924,1073655,  978330,  968549, 1083762,NA,"east",1755.41369,0, 5691, 5691+,0,0,0,"1996"
"7317","Ålborg","w570715000000011627",1990-04-10, 300, 28.00, 31.00,"Nordtank","NTK 300-Nordtank",851,"LAND","nørrekær enge","23a",  525837.6,  6318845.0,"WNR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 260250, 398850, 391825, 414642, 420219, 377404, 329775, 351389, 392726, 343528, 366068, 293637, 284383, 328746,  408035,  377937, 331328,  473721, 351941,NA,NA,NA,2008-12-19,"east",1232.19863,1, 6828, 6828 ,0,0,1,"1990"
"7318","Ålborg","w570715000000012884",1996-12-31, 600, 42.30, 45.00,"Wind World","W 4200-600",851,"LAND","Holte By, Tolstrup","2a",  555167.7,  6342762.1,"71014","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,      0, 790996,1216807, 945263,1098934,1022657,1011825, 906154, 1060216,  975116, 865108, 1130717,1031789,  916683,  926211, 1133715,NA,"east",1654.58048,0, 5691, 5691+,0,0,0,"1996"
"7319","Ålborg","w570715000000013188",2000-12-28, 750, 48.00, 45.00,"NEG Micon","NM 48/750",851,"LAND","Vrå Hovedgård, Ajstrup","2a",  555800.8,  6338102.9,"71300-00","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,      0, 792337,1257007,1147969, 1314720, 1224228,1106376, 1400767,1288497, 1152742, 1083191, 1341987,NA,"east",1569.04453,0, 4233, 4233+,0,0,0,"2000"
