;All sources;Oil and gas extraction - offshore - natural gas in turbines etc. (stationary combustion);Oil and gas extraction - offshore - flaring (stationary combustion);Oil and gas extraction - offshore - diesel fixed installations (stationary combustion);Oil and gas extraction - offshore - diesel mobile installations, production (stationary combustion);Oil and gas extraction - offshore - diesel mobile installations, exploration(stationary combustion);Oil and gas extraction - offshore - well testing (stationary combustion);Oil and gas extraction - onshore installations - natural gas in turbines etc. (stationary combust...;Oil and gas extraction - onshore installations - flaring (stationary combustion);Oil and gas extraction - cold flaring and leakage, offshore (process emissions);Oil and gas extraction - oil loading, offshore (process emissions);Oil and gas extraction - oil loading, onshore (process emissions);Oil and gas extraction - onshore - gas terminals, onshore (process emissions);Wood processing - stationary combustion;Oil refining - stationary combustion;Petrochemistry - stationary combustion;Fertilizer - stationary combustion;Other chemical industries - stationary combustion;Cement, lime and plaster - stationary combustion;Other mineral industries - stationary combustion;Metal industry - stationary combustion;Other industries and mining - stationary combustion;Wood processing - process emissions;Oil refining - process emissions;Petrochemistry - process emissions;Fertilizer - process emissions;Carbides - process emissions;Chemical industri, other - process emissions;Cement - process emissions;Mineral industry, other - process emissions;Iron, steel and ferro-alloys - process emissions;Aluminium - process emissions;Other metals - process emissions;Anodes - process emissions;Coal mining (process emissions);Fermentation (bread and beer) - process emissions;Energy supply;Heating in primary industries;Heating in construction and building;Heating in other service industries;Heating in households;Passenger cars - petrol;Passenger cars - diesel;Light duty vehicles - petrol;Light duty vehicles - diesel;Heavy duty vehicles - petrol;Heavy duty vehicles - diesel etc.;Motor cycles;Mopeds;Railways;Domestic aviation < 1000 m;Domestic aviation > 1000 m;Navigation - coastal traffic etc.;Navigation - fishing;Small boats;Snowmobiles;Tractors, construction machines and other motorized equipment: diesel;Motorized equipment: petrol;Enteric fermentation;Manure;Fertilizer;Agriculture, other;Landfill gas;Products containing fluorinated gases;Other products, including solvents;Fires, cremations etc.;Petrol distribution;Whitening of industrial waste;Waste water and waste water handeling;Sources not mentioned elsewhere
2001;55276;8574;1349;475;264;82;165;1084;43;316;1175;71;39;542;1050;1129;296;96;477;271;360;718;9;920;52;2047;301;309;853;83;2835;3006;820;45;76;208;575;107;101;838;1037;4705;525;333;932;46;2368;60;27;53;371;776;2089;1438;182;16;1383;56;2320;921;606;1052;1308;549;147;0;20;22;128;45
2002;54140;8860;1030;377;270;106;114;1139;69;305;968;67;52;505;950;1063;234;104;474;269;280;728;9;922;52;2253;215;296;875;88;2474;3167;154;51;70;224;621;103;106;913;1123;4672;622;314;961;54;2362;61;29;49;342;902;1958;1502;182;17;1298;56;2313;921;609;1047;1246;589;150;0;19;21;119;46
2003;54887;9353;1054;360;246;62;32;1219;53;432;768;52;48;552;997;1101;310;123;518;273;282;763;10;1040;58;2177;100;328;904;109;2299;2798;185;60;108;222;770;123;140;1132;1223;4610;725;297;986;64;2437;63;31;46;327;658;2025;1457;182;17;1429;55;2353;921;627;1063;1229;531;152;0;19;22;126;49
2004;55439;9687;1054;359;267;28;16;1193;111;495;688;48;49;552;932;1048;357;113;449;275;278;645;11;941;41;2346;106;343;716;110;2749;2964;219;48;69;232;662;114;99;921;1005;4579;879;280;1041;74;2572;64;33;50;342;805;2087;1423;182;18;1561;56;2280;910;632;1065;1219;578;155;0;18;21;126;47
2005;54469;9630;1055;376;420;65;41;1201;101;422;503;41;51;485;1042;1015;308;122;413;284;268;587;13;1008;53;2291;96;252;780;103;2429;3002;255;41;50;187;637;116;110;778;856;4385;1056;252;1085;86;2703;63;32;48;347;809;2046;1363;182;18;1466;56;2266;912;643;1061;1144;596;140;0;18;25;129;48
2006;54288;9514;989;390;389;78;71;1193;75;412;367;39;50;548;1138;1094;353;125;442;306;287;645;14;1056;55;1997;73;334;805;115;1854;2934;135;40;49;196;673;119;120;842;879;4219;1313;225;1180;83;2828;64;33;47;357;815;2158;1285;182;18;1648;56;2217;906;627;1046;1161;672;129;0;18;28;133;49
2007;56006;9141;905;418;350;103;33;1571;1458;505;344;118;51;408;1156;928;319;98;475;326;296;601;10;958;51;1678;75;331;869;114;2161;2999;14;51;78;155;958;107;130;798;759;3998;1679;202;1251;75;2882;65;33;49;360;781;2357;1236;182;20;1888;55;2192;909;647;1059;1137;689;131;0;17;24;140;46
2008;54425;9030;1119;421;337;133;33;1903;804;533;256;74;52;373;1131;967;347;77;455;399;293;571;13;745;62;1297;79;327;833;174;2289;2930;13;81;54;186;787;106;139;787;655;3735;1863;177;1291;67;2810;66;34;51;384;809;2109;1203;182;21;1741;55;2168;917;619;1055;1087;758;125;0;16;25;144;48
2009;51809;8798;919;456;333;205;47;1848;259;461;237;63;59;347;1067;892;313;143;473;296;262;484;9;921;64;795;53;247;842;154;1476;2102;15;80;42;172;1788;101;124;845;658;3494;2066;153;1311;60;2689;70;35;51;381;806;2179;1379;182;22;1611;55;2105;897;561;1010;1104;798;105;0;15;21;148;51
2010;54347;8659;979;449;387;174;154;1967;258;511;182;113;59;381;973;944;321;102;483;282;358;570;10;945;55;683;77;305;754;257;2199;1959;14;67;37;197;2352;115;121;925;776;3280;2395;131;1396;55;2738;73;36;44;403;848;2282;1436;181;22;1895;55;2095;896;511;984;1082;990;126;0;14;23;146;51
2011;53294;8424;1019;489;530;184;54;1871;294;467;121;114;59;292;925;945;335;110;463;355;256;548;9;1079;64;612;71;277;749;238;2310;1905;14;72;46;171;2112;92;120;738;609;2983;2594;106;1419;47;2806;75;36;43;424;891;2188;1464;181;23;1850;55;2053;878;582;1004;1072;1011;129;0;14;22;149;50
2012;52733;8508;920;535;565;151;55;1976;321;428;116;108;52;206;873;875;334;95;473;317;226;534;10;1202;58;642;44;278;725;245;2352;1863;16;87;33;170;1538;88;127;719;521;2768;2806;90;1450;39;2836;77;37;47;435;909;2116;1541;180;24;1997;55;2040;881;575;1004;1034;1033;135;0;13;21;152;52
