"","date","time","windSetW","windEstW","ElbasDKW","PriceDKW","bal.price.up","bal.price.down","bal.to.up","bal.to.down","sys.imbalance.pos","sys.imbalance.neg","cons.prog.DK1","cons.prog.DK2","cons.DK1","cons.DK2","cons.DK","DK.West.and.Germany.mwh_h","DK.East.and.Germany.mwh_h","diff","cons.diff.dkw","cons.diff.dk","pos.sys.imb.dummy","neg.sys.imb.dummy","DKWElbON","reg.up.dummy","reg.down.dummy","WindPos","error_plus","error_neg","error_plus_sq","error_neg_sq","cons.pos.w","cons.error.plus.w","cons.error.neg.w","cons.pos","cons.error.plus","cons.error.neg","sys.imbalance"
"1",2010-01-01,"1",1.75,2.19,NA,39.64,39.64,39.64,NA,NA,125.4,NA,19.98,16.03,21.89,"1622",38.11,"950.0","550.0",-0.44,1.91,2.09999999999999,1,0,0,0,0,0,0,0.44,0,0.1936,1,1.91,0,1,2.09999999999999,0,125.4
"6490",2010-01-01,"10",2.59,3.8,NA,38.93,40.94,38.93,123.8,NA,260.4,NA,19.3,15.17,20.83,"1574",36.57,"950.0","550.0",-1.21,1.53,2.1,1,0,0,1,0,0,0,1.21,0,1.4641,1,1.53,0,1,2.1,0,260.4
"7211",2010-01-01,"11",2.49,4.27,43.73,39.29,41.96,39.29,146.4,NA,200,NA,20.11,16,22.23,"1676",38.99,"950.0","550.0",-1.78,2.12,2.88,1,0,1,1,0,0,0,1.78,0,3.1684,1,2.12,0,1,2.88,0,200
"7932",2010-01-01,"12",1.77,4.87,41.11,39.25,42.14,39.25,187,NA,53.1,NA,20.82,16.66,23.04,"1756",40.6,"950.0","550.0",-3.1,2.22,3.12,1,0,1,1,0,0,0,3.1,0,9.61,1,2.22,0,1,3.12,0,53.1
"8653",2010-01-01,"13",1.6,5.16,41.15,39.24,43.95,39.24,203.8,NA,NA,-23.1,20.74,17.05,23.22,"1805",41.27,"950.0","550.0",-3.56,2.48,3.48,0,1,1,1,0,0,0,3.56,0,12.6736,1,2.48,0,1,3.48,0,-23.1
"9374",2010-01-01,"14",1.85,5.11,41.1,20.92,44.55,20.92,223,NA,NA,-74.3,20.86,17.08,23.09,"1819",41.28,"950.0","550.0",-3.26,2.23,3.34,0,1,1,1,0,0,0,3.26,0,10.6276,1,2.23,0,1,3.34,0,-74.3
"10095",2010-01-01,"15",2.38,4.93,41.04,39.25,44.55,39.25,214.7,NA,NA,-69.4,21.07,17.2,23.1,"1836",41.46,"950.0","550.0",-2.55,2.03,3.19,0,1,1,1,0,0,0,2.55,0,6.5025,1,2.03,0,1,3.19,0,-69.4
"10816",2010-01-01,"16",2.84,4.46,40.83,39.31,43.95,39.31,112.7,NA,163.2,NA,21.64,17.54,23.31,"1878",42.09,"950.0","550.0",-1.62,1.67,2.91,1,0,1,1,0,0,0,1.62,0,2.6244,1,1.67,0,1,2.91,0,163.2
"11537",2010-01-01,"17",3.04,4.05,42.27,39.98,45.66,39.98,5.5,NA,260.1,NA,23.82,19.42,25.55,"2013",45.68,"950.0","550.0",-1.01,1.73,2.44,1,0,1,1,0,0,0,1.01,0,1.0201,1,1.73,0,1,2.44,0,260.1
"12258",2010-01-01,"18",3.19,3.9,43.49,40.26,45.66,40.26,17,NA,363.9,NA,26.81,21.04,27.93,"2114",49.07,"950.0","550.0",-0.71,1.12,1.22000000000001,1,0,1,1,0,0,0,0.71,0,0.5041,1,1.12,0,1,1.22000000000001,0,363.9
"12979",2010-01-01,"19",3.29,3.84,42.41,40.58,45.66,40.58,17.9,NA,333.9,NA,26.92,21.16,27.54,"2110",48.64,"893.2","550.0",-0.55,0.619999999999997,0.560000000000002,1,0,1,1,0,0,0,0.55,0,0.3025,1,0.619999999999997,0,1,0.560000000000002,0,333.9
"722",2010-01-01,"2",1.75,2.23,NA,39.37,39.37,39.37,NA,NA,142.5,NA,19.13,15.54,21.01,"1567",36.68,"950.0","550.0",-0.48,1.88,2.01,1,0,0,0,0,0,0,0.48,0,0.2304,1,1.88,0,1,2.01,0,142.5
"13700",2010-01-01,"20",3.02,3.85,43.36,40.03,44.01,40.03,21.1,NA,197.6,NA,25.18,19.96,25.74,"2018",45.92,"840.0","550.0",-0.83,0.559999999999999,0.780000000000001,1,0,1,1,0,0,0,0.83,0,0.6889,1,0.559999999999999,0,1,0.780000000000001,0,197.6
"14421",2010-01-01,"21",3.05,3.79,41.25,39.95,44.01,39.95,8.8,NA,183.2,NA,23.67,18.8,24.36,"1904",43.4,"950.0","550.0",-0.74,0.689999999999998,0.93,1,0,1,1,0,0,0,0.74,0,0.5476,1,0.689999999999998,0,1,0.93,0,183.2
"15142",2010-01-01,"22",2.99,3.71,41,39.34,43.35,39.34,21.1,NA,212,NA,22.34,17.83,23.13,"1787",41,"900.0","550.0",-0.72,0.789999999999999,0.829999999999998,1,0,1,1,0,0,0,0.72,0,0.5184,1,0.789999999999999,0,1,0.829999999999998,0,212
"15863",2010-01-01,"23",3.22,3.63,41.74,40.03,43.35,40.03,13.8,NA,195.6,NA,20.79,16.72,21.64,"1694",38.58,"499.7","550.0",-0.41,0.850000000000001,1.07,1,0,1,1,0,0,0,0.41,0,0.1681,1,0.850000000000001,0,1,1.07,0,195.6
"16584",2010-01-01,"24",3.29,3.58,41.79,35.6,42.14,35.6,68.2,NA,127.1,NA,19.2,15.48,20.33,"1606",36.39,"525.7","550.0",-0.29,1.13,1.71,1,0,1,1,0,0,0,0.29,0,0.0841,1,1.13,0,1,1.71,0,127.1
"1443",2010-01-01,"3",1.97,2.23,NA,38.41,40.94,38.41,82.9,NA,41.6,NA,18.23,14.9,20.18,"1500",35.18,"950.0","550.0",-0.26,1.95,2.05,1,0,0,1,0,0,0,0.26,0,0.0676,1,1.95,0,1,2.05,0,41.6
"2164",2010-01-01,"4",2.2,2.28,NA,17,40.94,17,125,NA,NA,-58.5,17.84,14.19,19.36,"1444",33.8,"916.7","550.0",-0.0799999999999996,1.52,1.77,0,1,0,1,0,0,0,0.0799999999999996,0,0.00639999999999994,1,1.52,0,1,1.77,0,-58.5
"2885",2010-01-01,"5",2.25,2.41,NA,16,40.94,16,126,NA,NA,-97.5,17.3,13.66,18.83,"1408",32.91,"860.2","550.0",-0.16,1.53,1.95,0,1,0,1,0,0,0,0.16,0,0.0256,1,1.53,0,1,1.95,0,-97.5
"3606",2010-01-01,"6",2.58,2.6,NA,29.21,40.94,29.21,89,NA,18.5,NA,17.27,13.53,18.76,"1407",32.83,"950.0","550.0",-0.02,1.49,2.03,1,0,0,1,0,0,0,0.02,0,0.000400000000000001,1,1.49,0,1,2.03,0,18.5
"4327",2010-01-01,"7",2.37,2.88,NA,30.31,30.31,30.31,36,NA,NA,-5.9,17.68,13.81,19.41,"1439",33.8,"950.0","550.0",-0.51,1.73,2.31,0,1,0,1,0,0,0,0.51,0,0.2601,1,1.73,0,1,2.31,0,-5.9
"5048",2010-01-01,"8",2.29,3.22,NA,30.51,40.94,30.51,115,NA,NA,-82.1,18.62,14.17,19.9,"1476",34.66,"950.0","550.0",-0.93,1.28,1.87,0,1,0,1,0,0,0,0.93,0,0.8649,1,1.28,0,1,1.87,0,-82.1
"5769",2010-01-01,"9",2.53,3.5,NA,30.14,30.14,30.14,83.7,NA,NA,-39.1,18.86,14.52,20.37,"1509",35.46,"950.0","550.0",-0.97,1.51,2.08000000000001,0,1,0,1,0,0,0,0.97,0,0.9409,1,1.51,0,1,2.08000000000001,0,-39.1
"2",2010-01-02,"1",3.37,3.29,NA,39.44,39.57,39.44,58.7,NA,NA,-8.2,19.02,15.93,19.3,"1483",34.13,"950.0","550.0",0.0800000000000001,0.280000000000001,-0.82,0,1,0,1,0,1,0.0800000000000001,0,0.00640000000000001,0,1,0.280000000000001,0,0,0,0.82,-8.2
"6491",2010-01-02,"10",7.62,7.05,NA,39.32,39.32,39.32,NA,NA,NA,-131.7,23.58,18.65,23.79,"1789",41.68,"950.0","550.0",0.57,0.210000000000001,-0.549999999999997,0,1,0,0,0,1,0.57,0,0.3249,0,1,0.210000000000001,0,0,0,0.549999999999997,-131.7
"7212",2010-01-02,"11",7.49,7.63,NA,40.79,40.79,40.79,NA,NA,NA,-160.3,24.35,19.75,24.44,"1900",43.44,"-250.7","550.0",-0.14,0.0899999999999999,-0.660000000000004,0,1,0,0,0,0,0,0.14,0,0.0195999999999999,1,0.0899999999999999,0,0,0,0.660000000000004,-160.3
"7933",2010-01-02,"12",8.09,8.19,NA,44.5,44.5,44.5,NA,NA,NA,-119.2,24.31,19.91,24.69,"1896",43.65,"-902.4","550.0",-0.0999999999999996,0.380000000000003,-0.57,0,1,0,0,0,0,0,0.0999999999999996,0,0.00999999999999993,1,0.380000000000003,0,0,0,0.57,-119.2
"8654",2010-01-02,"13",8.67,8.48,NA,46.51,46.51,46.51,NA,NA,NA,-184.6,24.33,19.98,25.3,"1898",44.28,"-1,262.3","415.5",0.19,0.970000000000002,-0.0300000000000011,0,1,0,0,0,1,0.19,0,0.0360999999999998,0,1,0.970000000000002,0,0,0,0.0300000000000011,-184.6
"9375",2010-01-02,"14",9.08,8.35,NA,40.6,43.35,40.6,70.3,NA,NA,-273.4,24.01,20.03,24.07,"1877",42.84,"-724.5","550.0",0.73,0.0599999999999987,-1.2,0,1,0,1,0,1,0.73,0,0.532900000000001,0,1,0.0599999999999987,0,0,0,1.2,-273.4
"10096",2010-01-02,"15",8.89,7.93,NA,39.7,39.7,39.7,NA,NA,NA,-167.7,23.33,20.24,23.61,"1846",42.07,"250.5","550.0",0.960000000000001,0.280000000000001,-1.49999999999999,0,1,0,0,0,1,0.960000000000001,0,0.921600000000002,0,1,0.280000000000001,0,0,0,1.49999999999999,-167.7
"10817",2010-01-02,"16",8.67,7.29,37,36.99,36.99,36.99,NA,NA,NA,-235.5,23.92,20.65,23.97,"1930",43.27,"387.9","550.0",1.38,0.0499999999999972,-1.3,0,1,1,0,0,1,1.38,0,1.9044,0,1,0.0499999999999972,0,0,0,1.3,-235.5
"11538",2010-01-02,"17",8.42,6.69,38.7,38.69,38.69,38.69,NA,NA,NA,-272.5,26.1,21.94,25.99,"2117",47.16,"-101.6","550.0",1.73,-0.110000000000003,-0.88000000000001,0,1,1,0,0,1,1.73,0,2.9929,0,0,0,0.110000000000003,0,0,0.88000000000001,-272.5
"12259",2010-01-02,"18",8.27,6.5,50.2,50.14,50.14,50.14,NA,NA,NA,-290.2,29.5,23.47,29.39,"2270",52.09,"-855.6","550.0",1.77,-0.109999999999999,-0.879999999999995,0,1,1,0,0,1,1.77,0,3.1329,0,0,0,0.109999999999999,0,0,0.879999999999995,-290.2
"12980",2010-01-02,"19",7.84,6.44,61.18,59.7,74.97,59.7,66.8,NA,NA,-265.3,28.4,22.94,28.92,"2211",51.03,"-1,408.1","550.0",1.4,0.520000000000003,-0.310000000000002,0,1,1,1,0,1,1.4,0,1.96,0,1,0.520000000000003,0,0,0,0.310000000000002,-265.3
"723",2010-01-02,"2",3.35,3.58,38.39,39.5,39.5,39.5,NA,NA,68.5,NA,17.88,14.81,18.37,"1401",32.38,"950.0","550.0",-0.23,0.490000000000002,-0.309999999999995,1,0,1,0,0,0,0,0.23,0,0.0529,1,0.490000000000002,0,0,0,0.309999999999995,68.5
"13701",2010-01-02,"20",7.52,6.16,55.38,56.21,71.56,56.21,111.5,NA,NA,-478.3,25.87,21.12,26.78,"2081",47.59,"-1,499.8","-34.3",1.36,0.91,0.600000000000001,0,1,1,1,0,1,1.36,0,1.8496,0,1,0.91,0,1,0.600000000000001,0,-478.3
"14422",2010-01-02,"21",6.7,5.55,NA,44.5,51.6,44.5,237.8,NA,NA,-792.6,23.8,19.53,24.88,"1970",44.58,"-1,107.0","550.0",1.15,1.08,1.25,0,1,0,1,0,1,1.15,0,1.3225,0,1,1.08,0,1,1.25,0,-792.6
"15143",2010-01-02,"22",5.92,4.76,NA,40.13,46.96,40.13,213.7,NA,NA,-666.6,22.41,18.4,23.34,"1824",41.58,"-369.9","550.0",1.16,0.93,0.769999999999996,0,1,0,1,0,1,1.16,0,1.3456,0,1,0.93,0,1,0.769999999999996,0,-666.6
"15864",2010-01-02,"23",4.9,4,NA,44.3,49.37,44.3,116,NA,NA,-475.2,20.92,17.18,22.45,"1769",40.14,"-1,343.5","-50.0",0.9,1.53,2.04,0,1,0,1,0,1,0.9,0,0.810000000000001,0,1,1.53,0,1,2.04,0,-475.2
"16585",2010-01-02,"24",4.1,3.38,41.15,40.81,49.37,40.81,152.4,NA,NA,-431.8,19.57,16.04,20.91,"1685",37.76,"-905.1","490.3",0.72,1.34,2.15,0,1,1,1,0,1,0.72,0,0.5184,0,1,1.34,0,1,2.15,0,-431.8
"1444",2010-01-02,"3",3.97,3.88,37.24,39.22,39.22,39.22,NA,NA,96.3,NA,17.83,14.19,17.77,"1360",31.37,"950.0","550.0",0.0900000000000003,-0.0599999999999987,-0.649999999999995,1,0,1,0,0,1,0.0900000000000003,0,0.00810000000000006,0,0,0,0.0599999999999987,0,0,0.649999999999995,96.3
"2165",2010-01-02,"4",4.44,4.24,NA,38.29,38.29,38.29,NA,NA,67.4,NA,17.65,14,17.89,"1341",31.3,"950.0","550.0",0.2,0.240000000000002,-0.349999999999998,1,0,0,0,0,1,0.2,0,0.0400000000000001,0,1,0.240000000000002,0,0,0,0.349999999999998,67.4
"2886",2010-01-02,"5",4.39,4.71,NA,29.71,29.71,29.71,NA,NA,26.8,NA,17.67,13.89,17.9,"1350",31.4,"950.0","550.0",-0.32,0.229999999999997,-0.160000000000004,1,0,0,0,0,0,0,0.32,0,0.1024,1,0.229999999999997,0,0,0,0.160000000000004,26.8
"3607",2010-01-02,"6",4.43,5.21,NA,38.24,38.24,38.24,52.7,NA,NA,-2,18,14.23,18.3,"1381",32.11,"950.0","550.0",-0.78,0.300000000000001,-0.120000000000005,0,1,0,1,0,0,0,0.78,0,0.6084,1,0.300000000000001,0,0,0,0.120000000000005,-2
"4328",2010-01-02,"7",5.28,5.63,NA,39.26,39.26,39.26,NA,NA,65.2,NA,19.28,14.83,19.59,"1443",34.02,"950.0","550.0",-0.35,0.309999999999999,-0.0899999999999963,1,0,0,0,0,0,0,0.35,0,0.1225,1,0.309999999999999,0,0,0,0.0899999999999963,65.2
"5049",2010-01-02,"8",6.51,6.05,NA,40.07,40.07,40.07,NA,NA,52.2,NA,21.14,15.87,21.3,"1542",36.72,"950.0","550.0",0.46,0.16,-0.289999999999999,1,0,0,0,0,1,0.46,0,0.2116,0,1,0.16,0,0,0,0.289999999999999,52.2
"5770",2010-01-02,"9",7.13,6.53,NA,40.13,40.13,40.05,NA,-9.2,NA,-47.7,22.53,17.26,22.86,"1665",39.51,"950.0","550.0",0.6,0.329999999999998,-0.280000000000008,0,1,0,0,1,1,0.6,0,0.36,0,1,0.329999999999998,0,0,0,0.280000000000008,-47.7
"3",2010-01-03,"1",3.97,2.5,NA,33.6,44.55,33.6,240.3,NA,NA,-458.2,17.83,15.19,19.72,"1547",35.19,"-62.4","550.0",1.47,1.89,2.17,0,1,0,1,0,1,1.47,0,2.1609,0,1,1.89,0,1,2.17,0,-458.2
"6492",2010-01-03,"10",0.96,0.58,42,40.86,41.42,40.86,44.7,NA,NA,-36,21.95,17.91,24.49,"1812",42.61,"950.0","550.0",0.38,2.54,2.75,0,1,1,1,0,1,0.38,0,0.1444,0,1,2.54,0,1,2.75,0,-36
"7213",2010-01-03,"11",1,0.62,NA,40.42,40.42,6.72,NA,-65.3,55.3,NA,22.78,18.92,25.41,"1900",44.41,"950.0","550.0",0.38,2.63,2.70999999999999,1,0,0,0,1,1,0.38,0,0.1444,0,1,2.63,0,1,2.70999999999999,0,55.3
"7934",2010-01-03,"12",1.26,0.75,NA,43.21,43.21,6.72,NA,-74.5,75.6,NA,23,19.43,25.04,"1929",44.33,"305.3","352.1",0.51,2.04,1.9,1,0,0,0,1,1,0.51,0,0.2601,0,1,2.04,0,1,1.9,0,75.6
"8655",2010-01-03,"13",1.53,0.94,NA,46.3,46.3,6.72,8.3,-41.9,NA,-33.9,22.81,19.6,24.52,"1948",44,"-344.1","-50.0",0.59,1.71,1.59,0,1,0,1,1,1,0.59,0,0.3481,0,1,1.71,0,1,1.59,0,-33.9
"9376",2010-01-03,"14",1.72,1.14,NA,38.7,38.97,38.7,91.7,NA,NA,-91.1,22.86,19.57,24.03,"1933",43.36,"583.1","550.0",0.58,1.17,0.93,0,1,0,1,0,1,0.58,0,0.3364,0,1,1.17,0,1,0.93,0,-91.1
"10097",2010-01-03,"15",2.11,1.3,NA,40.33,40.33,40.33,45.8,NA,6.6,NA,22.97,19.43,24.29,"1927",43.56,"950.0","550.0",0.81,1.32,1.16,1,0,0,1,0,1,0.81,0,0.6561,0,1,1.32,0,1,1.16,0,6.6
"10818",2010-01-03,"16",2.74,1.37,NA,40.4,40.4,-13.3,NA,-56.7,137.1,NA,23.57,19.84,24.76,"1955",44.31,"950.0","550.0",1.37,1.19,0.900000000000006,1,0,0,0,1,1,1.37,0,1.8769,0,1,1.19,0,1,0.900000000000006,0,137.1
"11539",2010-01-03,"17",3.44,1.46,NA,38.47,38.47,38.47,NA,NA,NA,-178.5,25.48,21.66,27.26,"2146",48.72,"950.0","550.0",1.98,1.78,1.58,0,1,0,0,0,1,1.98,0,3.9204,0,1,1.78,0,1,1.58,0,-178.5
"12260",2010-01-03,"18",4.1,1.59,NA,46.8,46.8,46.8,NA,NA,NA,-135.2,27.94,23.49,30.88,"2327",54.15,"143.3","550.0",2.51,2.94,2.72,0,1,0,0,0,1,2.51,0,6.3001,0,1,2.94,0,1,2.72,0,-135.2
"12981",2010-01-03,"19",4.07,1.7,NA,54.11,54.11,54.11,NA,NA,NA,-124.7,27.61,22.98,30.06,"2281",52.87,"-1,213.7","207.3",2.37,2.45,2.27999999999999,0,1,0,0,0,1,2.37,0,5.6169,0,1,2.45,0,1,2.27999999999999,0,-124.7
"724",2010-01-03,"2",4.07,2.22,NA,32,32.8,32,183.4,NA,NA,-267.8,17.06,14.21,19.11,"1462",33.73,"823.6","550.0",1.85,2.05,2.46,0,1,0,1,0,1,1.85,0,3.4225,0,1,2.05,0,1,2.46,0,-267.8
"13702",2010-01-03,"20",3.87,1.77,NA,52.79,52.79,42.14,NA,-12.6,NA,-159.1,25.73,21.83,28.27,"2161",49.88,"-1,461.7","84.8",2.1,2.54,2.32,0,1,0,0,1,1,2.1,0,4.41,0,1,2.54,0,1,2.32,0,-159.1
"14423",2010-01-03,"21",4.31,1.77,NA,40.63,40.63,40.63,NA,NA,NA,-32.1,24.3,20.32,26.08,"2038",46.46,"-724.0","-50.0",2.54,1.78,1.84,0,1,0,0,0,1,2.54,0,6.4516,0,1,1.78,0,1,1.84,0,-32.1
"15144",2010-01-03,"22",4.77,1.73,NA,38.59,38.59,38.59,NA,NA,NA,-120.2,23.53,19.13,24.25,"1907",43.32,"71.0","550.0",3.04,0.719999999999999,0.660000000000004,0,1,0,0,0,1,3.04,0,9.2416,0,1,0.719999999999999,0,1,0.660000000000004,0,-120.2
"15865",2010-01-03,"23",5.96,1.76,NA,42.72,42.72,2.02,NA,-42.9,NA,-48.6,21.69,17.78,22.52,"1740",39.92,"97.0","367.6",4.2,0.829999999999998,0.450000000000003,0,1,0,0,1,1,4.2,0,17.64,0,1,0.829999999999998,0,1,0.450000000000003,0,-48.6
"16586",2010-01-03,"24",7.03,1.88,NA,39.33,39.33,-79.96,NA,-161.2,112.6,NA,20.18,16.34,21.51,"1576",37.27,"606.2","550.0",5.15,1.33,0.750000000000007,1,0,0,0,1,1,5.15,0,26.5225,0,1,1.33,0,1,0.750000000000007,0,112.6
"1445",2010-01-03,"3",3.24,1.94,NA,39.29,39.29,39.29,NA,NA,52.7,NA,16.6,13.6,18.64,"1404",32.68,"950.0","550.0",1.3,2.04,2.48,1,0,0,0,0,1,1.3,0,1.69,0,1,2.04,0,1,2.48,0,52.7
"2166",2010-01-03,"4",2.55,1.63,NA,39.24,39.24,39.24,21,NA,73.4,NA,16.44,13.25,18.48,"1389",32.37,"950.0","550.0",0.92,2.04,2.68,1,0,0,1,0,1,0.92,0,0.8464,0,1,2.04,0,1,2.68,0,73.4
"2887",2010-01-03,"5",1.9,1.35,NA,39.26,39.26,39.26,NA,NA,4.9,NA,16.43,13.25,18.62,"1405",32.67,"950.0","550.0",0.55,2.19,2.99,1,0,0,0,0,1,0.55,0,0.3025,0,1,2.19,0,1,2.99,0,4.9
"3608",2010-01-03,"6",1.58,1.1,NA,39.33,39.46,39.33,68.2,NA,NA,-78.5,16.81,13.55,19.21,"1416",33.37,"950.0","550.0",0.48,2.4,3.01,0,1,0,1,0,1,0.48,0,0.2304,0,1,2.4,0,1,3.01,0,-78.5
"4329",2010-01-03,"7",1.36,0.88,NA,40.11,40.51,40.11,114.5,NA,NA,-57.4,17.64,14.14,20.35,"1487",35.22,"950.0","550.0",0.48,2.71,3.44,0,1,0,1,0,1,0.48,0,0.2304,0,1,2.71,0,1,3.44,0,-57.4
"5050",2010-01-03,"8",1.4,0.73,NA,40.38,40.38,40.38,61.4,NA,NA,-21.1,18.79,15.09,22,"1577",37.77,"950.0","550.0",0.67,3.21,3.89000000000001,0,1,0,1,0,1,0.67,0,0.4489,0,1,3.21,0,1,3.89000000000001,0,-21.1
"5771",2010-01-03,"9",1.25,0.64,42,40.7,40.7,40.7,50,NA,17.9,NA,20.67,16.42,23.57,"1665",40.22,"950.0","550.0",0.61,2.9,3.13,1,0,1,1,0,1,0.61,0,0.3721,0,1,2.9,0,1,3.13,0,17.9
"4",2010-01-04,"1",7.92,2.44,NA,39.2,39.2,-134.25,NA,-126.4,6.1,NA,19.92,15.26,20.32,"1476",35.08,"707.7","550.0",5.48,0.399999999999999,-0.100000000000001,1,0,0,0,1,1,5.48,0,30.0304,0,1,0.399999999999999,0,0,0,0.100000000000001,6.1
"6493",2010-01-04,"10",3.97,2.95,59.4,46.56,46.56,34.76,NA,NA,NA,-17.6,33.79,23.64,32.71,"2282",55.53,"626.3","550.0",1.02,-1.08,-1.9,0,1,1,0,0,1,1.02,0,1.0404,0,0,0,1.08,0,0,1.9,-17.6
"7214",2010-01-04,"11",3.85,2.9,NA,44.76,44.76,34.76,NA,NA,NA,-41.6,34.16,23.72,32.91,"2303",55.94,"950.0","550.0",0.95,-1.25,-1.94,0,1,0,0,0,1,0.95,0,0.9025,0,0,0,1.25,0,0,1.94,-41.6
"7935",2010-01-04,"12",3.66,2.93,NA,44.51,44.51,34.76,NA,-9.6,NA,-113.5,33.54,23.19,32.6,"2310",55.7,"950.0","550.0",0.73,-0.939999999999998,-1.03,0,1,0,0,1,1,0.73,0,0.5329,0,0,0,0.939999999999998,0,0,1.03,-113.5
"8656",2010-01-04,"13",3.4,2.92,NA,44.06,44.06,34.76,NA,-10,NA,-49.3,32.45,23.2,31.53,"2293",54.46,"950.0","550.0",0.48,-0.920000000000002,-1.19,0,1,0,0,1,1,0.48,0,0.2304,0,0,0,0.920000000000002,0,0,1.19,-49.3
"9377",2010-01-04,"14",3.4,2.76,NA,43.99,43.99,35.05,NA,-10,NA,-62.4,32.54,23.82,31.71,"2277",54.48,"950.0","550.0",0.64,-0.829999999999998,-1.88,0,1,0,0,1,1,0.64,0,0.4096,0,0,0,0.829999999999998,0,0,1.88,-62.4
"10098",2010-01-04,"15",3.28,2.38,NA,43.93,43.93,34.95,NA,-9.6,NA,-184.7,32.21,22.56,31.31,"2231",53.62,"950.0","550.0",0.9,-0.900000000000002,-1.15,0,1,0,0,1,1,0.9,0,0.81,0,0,0,0.900000000000002,0,0,1.15,-184.7
"10819",2010-01-04,"16",3.24,1.96,80,44.02,44.02,34.95,NA,-3.8,NA,-177,31.22,21.62,30.63,"2206",52.69,"950.0","550.0",1.28,-0.59,-0.150000000000006,0,1,1,0,1,1,1.28,0,1.6384,0,0,0,0.59,0,0,0.150000000000006,-177
"11540",2010-01-04,"17",2.99,1.66,NA,45.11,45.11,34.95,NA,-10,NA,-77,32.82,22.22,32.05,"2328",55.33,"649.1","550.0",1.33,-0.770000000000003,0.289999999999999,0,1,0,0,1,1,1.33,0,1.7689,0,0,0,0.770000000000003,1,0.289999999999999,0,-77
"12261",2010-01-04,"18",3.34,1.53,NA,52.37,52.37,36.13,NA,-10,NA,-20.1,36.39,24.5,35.39,"2514",60.53,"330.5","550.0",1.81,-1,-0.359999999999999,0,1,0,0,1,1,1.81,0,3.2761,0,0,0,1,0,0,0.359999999999999,-20.1
"12982",2010-01-04,"19",2.76,1.54,NA,52.63,52.63,36.51,NA,-10,NA,-79.1,34.96,23.79,34.1,"2451",58.61,"-5.3","550.0",1.22,-0.859999999999999,-0.140000000000001,0,1,0,0,1,1,1.22,0,1.4884,0,0,0,0.859999999999999,0,0,0.140000000000001,-79.1
"725",2010-01-04,"2",8.03,2.45,NA,36.2,36.2,1.21,NA,-57,NA,-52.3,19.16,14.64,19.49,"1418",33.67,"725.4","550.0",5.58,0.329999999999998,-0.129999999999995,0,1,0,0,1,1,5.58,0,31.1364,0,1,0.329999999999998,0,0,0,0.129999999999995,-52.3
"13703",2010-01-04,"20",2.58,1.73,NA,47.99,47.99,37.97,NA,-9.6,NA,-0.1,32.91,22.97,31.53,"2299",54.52,"371.6","550.0",0.85,-1.38,-1.35999999999999,0,1,0,0,1,1,0.85,0,0.7225,0,0,0,1.38,0,0,1.35999999999999,-0.1
"14424",2010-01-04,"21",2.35,2.02,NA,41.59,41.59,37.97,NA,-5,NA,-156.4,30.62,22.4,29.78,"2152",51.3,"785.1","550.0",0.33,-0.84,-1.72,0,1,0,0,1,1,0.33,0,0.1089,0,0,0,0.84,0,0,1.72,-156.4
"15145",2010-01-04,"22",1.84,2.43,NA,42.93,42.93,37.97,NA,-6.3,20.9,NA,28.59,21.05,27.77,"1970",47.47,"950.0","550.0",-0.59,-0.82,-2.17,1,0,0,0,1,0,0,0.59,0,0.3481,0,0,0.82,0,0,2.17,20.9
"15866",2010-01-04,"23",1.52,2.88,NA,41.9,41.9,38,NA,-10,NA,-4.4,26.12,19.37,25.43,"1814",43.57,"882.8","550.0",-1.36,-0.690000000000001,-1.92,0,1,0,0,1,0,0,1.36,0,1.8496,0,0,0.690000000000001,0,0,1.92,-4.4
"16587",2010-01-04,"24",1.51,3.13,NA,40.8,40.8,38,NA,-10,222,NA,23.59,17.41,23.1,"1598",39.08,"795.0","550.0",-1.62,-0.489999999999998,-1.92,1,0,0,0,1,0,0,1.62,0,2.6244,0,0,0.489999999999998,0,0,1.92,222
"1446",2010-01-04,"3",7.94,2.58,NA,34.3,34.3,-134.25,NA,-131.6,NA,-25.2,19.12,14.48,19.44,"1389",33.33,"804.8","550.0",5.36,0.32,-0.270000000000003,0,1,0,0,1,1,5.36,0,28.7296,0,1,0.32,0,0,0,0.270000000000003,-25.2
"2167",2010-01-04,"4",6.66,2.77,NA,22.1,22.1,22.1,NA,NA,NA,-175.1,19.12,14.61,19.56,"1405",33.61,"914.8","550.0",3.89,0.439999999999998,-0.120000000000005,0,1,0,0,0,1,3.89,0,15.1321,0,1,0.439999999999998,0,0,0,0.120000000000005,-175.1
"2888",2010-01-04,"5",5.81,2.91,NA,26.72,28.2,26.72,34.7,NA,NA,-200.2,19.89,14.98,19.9,"1454",34.44,"950.0","550.0",2.9,0.00999999999999801,-0.430000000000007,0,1,0,1,0,1,2.9,0,8.41,0,1,0.00999999999999801,0,0,0,0.430000000000007,-200.2
"3609",2010-01-04,"6",4.6,2.97,NA,39.37,39.37,33,NA,NA,NA,-144.6,21.59,16.04,21.49,"1526",36.75,"950.0","550.0",1.63,-0.100000000000001,-0.879999999999995,0,1,0,0,0,1,1.63,0,2.6569,0,0,0,0.100000000000001,0,0,0.879999999999995,-144.6
